tweet_id,favorites,retweets,user_followers,user_favourites,date_time
728015554473250816,3966,1049,8958001,146001,2016-05-05 00:16:48+00:00
727685679342333952,2854,607,8958001,146001,2016-05-04 02:26:00+00:00
727644517743104000,5626,1672,8958001,146001,2016-05-03 23:42:26+00:00
727524757080539137,4293,1159,8958001,146001,2016-05-03 15:46:33+00:00
727314416056803329,3207,714,8958001,146001,2016-05-03 01:50:44+00:00
727286334147182592,2936,783,8958001,146001,2016-05-02 23:59:09+00:00
727175381690781696,3770,1331,8958001,146001,2016-05-02 16:38:15+00:00
727155742655025152,3488,1268,8958001,146001,2016-05-02 15:20:13+00:00
726935089318363137,6604,2327,8958001,146001,2016-05-02 00:43:25+00:00
726887082820554753,3691,1448,8958001,146001,2016-05-01 21:32:40+00:00
726828223124897792,3436,961,8958001,146001,2016-05-01 17:38:46+00:00
726224900189511680,4256,1096,8958001,146001,2016-04-30 01:41:23+00:00
725842289046749185,6818,2545,8958001,146001,2016-04-29 00:21:01+00:00
725786712245440512,4011,1312,8958001,146001,2016-04-28 20:40:11+00:00
725729321944506368,5003,1698,8958001,146001,2016-04-28 16:52:08+00:00
725458796924002305,1360,584,8958001,146001,2016-04-27 22:57:10+00:00
724983749226668032,3594,1238,8958001,146001,2016-04-26 15:29:30+00:00
724771698126512129,2249,604,8958001,146001,2016-04-26 01:26:53+00:00
724405726123311104,5088,1592,8958001,146001,2016-04-25 01:12:38+00:00
724049859469295616,4177,1701,8958001,146001,2016-04-24 01:38:33+00:00
724046343203856385,2565,532,8958001,146001,2016-04-24 01:24:35+00:00
724004602748780546,4032,1472,8958001,146001,2016-04-23 22:38:43+00:00
723912936180330496,3742,1177,8958001,146001,2016-04-23 16:34:28+00:00
723688335806480385,7361,2793,8958001,146001,2016-04-23 01:41:59+00:00
723673163800948736,2917,847,8958001,146001,2016-04-23 00:41:42+00:00
723179728551723008,5090,1781,8958001,146001,2016-04-21 16:00:57+00:00
722974582966214656,3942,1497,8958001,146001,2016-04-21 02:25:47+00:00
722613351520608256,4785,1561,8958001,146001,2016-04-20 02:30:23+00:00
721503162398597120,4432,1746,8958001,146001,2016-04-17 00:58:53+00:00
721001180231503872,2430,587,8958001,146001,2016-04-15 15:44:11+00:00
720785406564900865,2983,733,8958001,146001,2016-04-15 01:26:47+00:00
720775346191278080,2363,629,8958001,146001,2016-04-15 00:46:48+00:00
720415127506415616,3979,1437,8958001,146001,2016-04-14 00:55:25+00:00
720389942216527872,6111,2390,8958001,146001,2016-04-13 23:15:21+00:00
720340705894408192,2756,935,8958001,146001,2016-04-13 19:59:42+00:00
720059472081784833,3712,1071,8958001,146001,2016-04-13 01:22:10+00:00
720043174954147842,4739,1918,8958001,146001,2016-04-13 00:17:25+00:00
719991154352222208,4651,1665,8958001,146001,2016-04-12 20:50:42+00:00
719704490224398336,4362,1363,8958001,146001,2016-04-12 01:51:36+00:00
719551379208073216,4862,1810,8958001,146001,2016-04-11 15:43:12+00:00
719367763014393856,2688,712,8958001,146001,2016-04-11 03:33:34+00:00
719339463458033665,4273,1180,8958001,146001,2016-04-11 01:41:07+00:00
719332531645071360,3305,906,8958001,146001,2016-04-11 01:13:34+00:00
718971898235854848,3342,1031,8958001,146001,2016-04-10 01:20:33+00:00
718939241951195136,5052,1672,8958001,146001,2016-04-09 23:10:47+00:00
718631497683582976,18116,7653,8958001,146001,2016-04-09 02:47:55+00:00
718613305783398402,2349,457,8958001,146001,2016-04-09 01:35:37+00:00
718540630683709445,2353,967,8958001,146001,2016-04-08 20:46:50+00:00
718460005985447936,2591,500,8958001,146001,2016-04-08 15:26:28+00:00
718454725339934721,4669,1443,8958001,146001,2016-04-08 15:05:29+00:00
718246886998687744,1840,474,8958001,146001,2016-04-08 01:19:36+00:00
718234618122661888,3713,946,8958001,146001,2016-04-08 00:30:51+00:00
717841801130979328,2358,570,8958001,146001,2016-04-06 22:29:56+00:00
717790033953034240,2754,1048,8958001,146001,2016-04-06 19:04:14+00:00
717537687239008257,5568,1760,8958001,146001,2016-04-06 02:21:30+00:00
717428917016076293,1557,428,8958001,146001,2016-04-05 19:09:17+00:00
717421804990701568,3041,800,8958001,146001,2016-04-05 18:41:02+00:00
717047459982213120,6043,1833,8958001,146001,2016-04-04 17:53:31+00:00
717009362452090881,3115,922,8958001,146001,2016-04-04 15:22:08+00:00
716802964044845056,4124,1117,8958001,146001,2016-04-04 01:41:58+00:00
716791146589110272,7915,1513,8958001,146001,2016-04-04 00:55:01+00:00
716730379797970944,1189,411,8958001,146001,2016-04-03 20:53:33+00:00
716447146686459905,12540,5596,8958001,146001,2016-04-03 02:08:05+00:00
716439118184652801,2299,201,8958001,146001,2016-04-03 01:36:11+00:00
716285507865542656,2668,1006,8958001,146001,2016-04-02 15:25:47+00:00
716080869887381504,6516,1820,8958001,146001,2016-04-02 01:52:38+00:00
715928423106027520,3071,843,8958001,146001,2016-04-01 15:46:52+00:00
715758151270801409,3565,1364,8958001,146001,2016-04-01 04:30:16+00:00
715733265223708672,4490,1616,8958001,146001,2016-04-01 02:51:22+00:00
715704790270025728,2675,546,8958001,146001,2016-04-01 00:58:13+00:00
715696743237730304,3766,1235,8958001,146001,2016-04-01 00:26:15+00:00
715680795826982913,4125,1532,8958001,146001,2016-03-31 23:22:53+00:00
715360349751484417,5259,1495,8958001,146001,2016-03-31 02:09:32+00:00
715342466308784130,2936,658,8958001,146001,2016-03-31 00:58:29+00:00
715220193576927233,2335,618,8958001,146001,2016-03-30 16:52:36+00:00
715200624753819648,4959,1780,8958001,146001,2016-03-30 15:34:51+00:00
715009755312439296,3998,1167,8958001,146001,2016-03-30 02:56:24+00:00
714982300363173890,3576,989,8958001,146001,2016-03-30 01:07:18+00:00
714962719905021952,7052,4055,8958001,146001,2016-03-29 23:49:30+00:00
714957620017307648,3998,1350,8958001,146001,2016-03-29 23:29:14+00:00
714631576617938945,3151,948,8958001,146001,2016-03-29 01:53:39+00:00
714606013974974464,3499,880,8958001,146001,2016-03-29 00:12:05+00:00
714485234495041536,2561,1078,8958001,146001,2016-03-28 16:12:09+00:00
714258258790387713,2920,700,8958001,146001,2016-03-28 01:10:13+00:00
714251586676113411,3152,801,8958001,146001,2016-03-28 00:43:43+00:00
714214115368108032,2195,831,8958001,146001,2016-03-27 22:14:49+00:00
714141408463036416,4159,1341,8958001,146001,2016-03-27 17:25:54+00:00
713919462244790272,3168,757,8958001,146001,2016-03-27 02:43:58+00:00
713909862279876608,1822,518,8958001,146001,2016-03-27 02:05:49+00:00
713900603437621249,2737,698,8958001,146001,2016-03-27 01:29:02+00:00
713761197720473600,4670,1308,8958001,146001,2016-03-26 16:15:05+00:00
713411074226274305,4265,1244,8958001,146001,2016-03-25 17:03:49+00:00
713177543487135744,6954,2739,8958001,146001,2016-03-25 01:35:51+00:00
713175907180089344,4274,1414,8958001,146001,2016-03-25 01:29:21+00:00
712809025985978368,18313,6435,8958001,146001,2016-03-24 01:11:29+00:00
712717840512598017,11837,4742,8958001,146001,2016-03-23 19:09:09+00:00
712668654853337088,4009,1160,8958001,146001,2016-03-23 15:53:42+00:00
712438159032893441,5128,1503,8958001,146001,2016-03-23 00:37:48+00:00
712309440758808576,229,25,8958001,146001,2016-03-22 16:06:19+00:00
712097430750289920,3632,988,8958001,146001,2016-03-22 02:03:52+00:00
712092745624633345,2829,850,8958001,146001,2016-03-22 01:45:15+00:00
712085617388212225,3158,465,8958001,146001,2016-03-22 01:16:55+00:00
712065007010385924,2170,596,8958001,146001,2016-03-21 23:55:01+00:00
711998809858043904,0,123,8958001,146001,2016-03-21 19:31:59+00:00
711968124745228288,7745,2203,8958001,146001,2016-03-21 17:30:03+00:00
711743778164514816,2738,952,8958001,146001,2016-03-21 02:38:34+00:00
711732680602345472,8468,3905,8957583,146000,2016-03-21 01:54:29+00:00
711694788429553666,31558,17533,8958001,146001,2016-03-20 23:23:54+00:00
711652651650457602,3713,868,8957583,146000,2016-03-20 20:36:28+00:00
711363825979756544,3501,1084,8958001,146001,2016-03-20 01:28:47+00:00
711306686208872448,3173,709,8958001,146001,2016-03-19 21:41:44+00:00
711008018775851008,2881,586,8958001,146001,2016-03-19 01:54:56+00:00
710997087345876993,4401,1329,8958001,146001,2016-03-19 01:11:29+00:00
710844581445812225,2447,653,8958001,146001,2016-03-18 15:05:29+00:00
